ws;ad_1225;ad_106;ad_109;ad_112;ad_115;ad_118;ad_121;ad_124;ad_127
3;37;29;30;32;33;35;36;38;39
4;169;139;144;150;155;161;167;172;178
5;434;363;376;389;402;415;428;441;454
6;816;697;719;740;762;784;805;826;848
7;1327;1142;1176;1209;1243;1277;1311;1344;1378
8;1994;1724;1774;1823;1873;1922;1970;2019;2067
9;2718;2410;2471;2530;2586;2641;2693;2742;2789
10;3208;3004;3050;3092;3129;3164;3194;3222;3247
11;3402;3321;3341;3359;3373;3386;3397;3406;3414
12;3452;3430;3436;3441;3445;3448;3451;3453;3455
13;3463;3458;3459;3460;3461;3462;3462;3463;3463
14;3465;3464;3464;3464;3464;3464;3465;3465;3465
15;3465;3465;3465;3465;3465;3465;3465;3465;3465
16;3465;3465;3465;3465;3465;3465;3465;3465;3465
17;3463;3463;3463;3463;3463;3463;3463;3463;3463
18;3452;3452;3452;3452;3452;3452;3452;3452;3452
19;3413;3413;3413;3413;3413;3413;3413;3413;3413
20;3325;3325;3325;3325;3325;3325;3325;3325;3325
21;3176;3176;3176;3176;3176;3176;3176;3176;3176
22;2982;2982;2982;2982;2982;2982;2982;2982;2982
23;2771;2771;2771;2771;2771;2771;2771;2771;2771
24;2576;2576;2576;2576;2576;2576;2576;2576;2576
25;2418;2418;2418;2418;2418;2418;2418;2418;2418
