"Device","Date","WindSpeed","WindSpeed_Std","Power","Temperature","Relh","Pressure"
"WTG01","2020/03/01 00:00:00.000",20.9,0.9,2887.7,3.1,78.9735914052683,818.624510243358
"WTG01","2020/03/01 00:10:00.000",19.6,1,2852.4,2.7,79.9807578634761,818.457886234181
"WTG01","2020/03/01 00:20:00.000",20.3,0.9,2835.9,2.5,80.48434109258,818.374574229593
"WTG01","2020/03/01 00:30:00.000",20,1.1,2840.3,2.3,80.9879243216839,818.291262225004
"WTG01","2020/03/01 00:40:00.000",19.9,0.8,2838.6,2.1,81.4915075507878,818.207950220416
"WTG01","2020/03/01 00:50:00.000",20.5,1,2843.5,2.2,81.2397159362359,818.24960622271
"WTG01","2020/03/01 01:00:00.000",20.8,1,2859.8,2.3,80.9879243216839,818.291262225004
"WTG01","2020/03/01 01:10:00.000",20.6,1.3,2856.4,2.3,80.9879243216839,818.291262225004
"WTG01","2020/03/01 01:20:00.000",17.7,1.1,2834.9,1.8,82.2468823944436,818.082982213533
"WTG01","2020/03/01 01:30:00.000",15.9,1,2834,1.4,83.2540488526514,817.916358204356
"WTG01","2020/03/01 01:40:00.000",13.3,1.4,2831.2,1.1,84.0094236963073,817.791390197473
"WTG01","2020/03/01 01:50:00.000",13,0.9,2809.2,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 02:00:00.000",13.9,1.1,2805.7,0.8,84.7647985399631,817.666422190591
"WTG01","2020/03/01 02:10:00.000",14.7,1.1,2808.4,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 02:20:00.000",14.9,1.2,2892.5,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 02:30:00.000",14.8,1.2,2837.8,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 02:40:00.000",13.9,0.9,2831.7,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 02:50:00.000",13.8,1.1,2811.5,1,84.2612153108592,817.749734195179
"WTG01","2020/03/01 03:00:00.000",14.8,1.1,2805.1,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 03:10:00.000",15.6,1,2805.3,0.9,84.5130069254112,817.708078192885
"WTG01","2020/03/01 03:20:00.000",14.7,1.1,2810.8,0.8,84.7647985399631,817.666422190591
"WTG01","2020/03/01 03:30:00.000",13.2,0.9,2814.2,0.6,85.268381769067,817.583110186002
"WTG01","2020/03/01 03:40:00.000",14.3,1,2806.7,0.5,85.5201733836189,817.541454183708
"WTG01","2020/03/01 03:50:00.000",14.3,1.3,2805.2,0.5,85.5201733836189,817.541454183708
"WTG01","2020/03/01 04:00:00.000",15.1,1.1,2802.5,0.5,85.5201733836189,817.541454183708
"WTG01","2020/03/01 04:10:00.000",14.5,1.1,2839.7,0.5,85.5201733836189,817.541454183708
"WTG01","2020/03/01 04:20:00.000",14,1.2,2942.8,0.5,85.5201733836189,817.541454183708
"WTG01","2020/03/01 04:30:00.000",14.8,1.4,2860.5,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 04:40:00.000",14.8,1.2,2827.1,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 04:50:00.000",14.7,1.3,2817.7,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 05:00:00.000",14.2,1.2,2880.7,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 05:10:00.000",12.1,0.8,3072.7,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 05:20:00.000",11.9,0.8,3200.6,0.4,85.7719649981709,817.499798181414
"WTG01","2020/03/01 05:30:00.000",11.5,1.2,3024.8,0.3,86.0237566127228,817.45814217912
"WTG01","2020/03/01 05:40:00.000",11,0.8,2873,0.2,86.2755482272748,817.416486176825
